,Unnamed: 0.1,Unnamed: 0,RMSE,RMAE,R2,RSR,MAPE,NMBE
0,0,0,6.921869611127805,2.459535064975348,0.8116147249302956,0.1505237271029295,13.511201782845124,-4.70486017816829
1,1,1,9.99413365666981,2.945778463894857,0.6566354674643261,0.16435948808010747,18.78079377586266,-0.2592961839793508
2,2,2,10.17358467518178,2.862905204179505,0.890843640703446,0.10030539828259621,17.94956103452876,10.684095924393164
3,3,3,7.977250581310588,2.420889716312455,0.8978664560339974,0.11532015288467036,12.330228769369066,-3.606730977846482
4,4,4,6.744859444936273,2.34619607420646,0.9146163081165896,0.10230478995917532,14.5376667794648,-0.610507991432056
5,5,5,7.859150443095964,2.5152857124190904,0.6907090006047771,0.1961605537355402,11.802643689504418,-6.050018885075069
6,6,6,5.893959902269152,2.2344606863591463,0.901463246284186,0.12743901005416217,12.695293858203073,4.052830374260717
7,7,7,6.283720340183527,2.239260625038366,0.9111777583748052,0.1201407099901788,11.22887823541937,-1.1084869400007469
8,8,8,7.000964483936338,2.5428770946470074,0.8825209026736267,0.13260445742133697,17.245082838934902,6.231248019867259
9,9,9,6.499993957421576,2.307063122637791,0.8105855259274642,0.18171299096610055,10.565019746573874,-0.6631215630695692
